image,psnr,ssim,dists,niqe
PANSHARP_Norte_RGB_8bit__R58__C82,19.984129277620056,0.8466655611991882,0.059652090072631836,4.82491169670621
PANSHARP_Norte_RGB_8bit__R58__C83,21.036181549448454,0.8561863303184509,0.07328850030899048,4.80793004063408
PANSHARP_Norte_RGB_8bit__R58__C84,25.873691504806935,0.8811833262443542,0.08238482475280762,4.30303343684061
PANSHARP_Norte_RGB_8bit__R58__C85,23.193270913651553,0.8614180684089661,0.07057517766952515,4.94568498348635
PANSHARP_Norte_RGB_8bit__R58__C86,21.773597827561414,0.8612232804298401,0.08791059255599976,4.06639578713369
PANSHARP_Norte_RGB_8bit__R69__C61,24.41608145268008,0.8715944290161133,0.06013751029968262,4.92409383549318
PANSHARP_Norte_RGB_8bit__R69__C62,22.404199719690915,0.8584181666374207,0.07572472095489502,4.92863237092327
PANSHARP_Norte_RGB_8bit__R69__C63,24.876037753145162,0.8754935264587402,0.07617634534835815,5.3835345025102
PANSHARP_Norte_RGB_8bit__R69__C64,26.34594938276009,0.8722328543663025,0.0748489499092102,4.54705071008611
PANSHARP_Suroeste_RGB_8bit__R10__C43,16.434880911531117,0.6745548844337463,0.07281136512756348,5.39154915757947
PANSHARP_Suroeste_RGB_8bit__R10__C45,14.923629821729136,0.6448838114738464,0.08574497699737549,5.49199626773339
PANSHARP_Suroeste_RGB_8bit__R12__C25,19.8483295683994,0.7193146347999573,0.09874999523162842,5.56683084330853
PANSHARP_Suroeste_RGB_8bit__R28__C45,23.125547534356144,0.8355143666267395,0.08500361442565918,5.64863753953188
PANSHARP_Suroeste_RGB_8bit__R36__C8,24.10512660107106,0.8491961359977722,0.08144128322601318,4.97112719189443
PANSHARP_Suroeste_RGB_8bit__R36__C9,25.05240574536733,0.8431363701820374,0.07320952415466309,4.96207256404452
PANSHARP_Suroeste_RGB_8bit__R41__C40,14.614522810779212,0.6520309448242188,0.10357952117919922,7.41241060731618
PANSHARP_Suroeste_RGB_8bit__R52__C4,16.044699269897585,0.6590368747711182,0.06917822360992432,4.62616205983512
PANSHARP_Suroeste_RGB_8bit__R52__C40,15.145899723467375,0.6548160314559937,0.09068876504898071,6.82272214629097
PANSHARP_Suroeste_RGB_8bit__R52__C41,19.644587549098134,0.7682374119758606,0.07931208610534668,5.16987452226023
PANSHARP_Suroeste_RGB_8bit__R52__C42,23.089334843385416,0.8250484466552734,0.07008731365203857,4.21939551627973
PANSHARP_Suroeste_RGB_8bit__R52__C5,16.81856187973724,0.6944572329521179,0.06658703088760376,4.11273463628357
PANSHARP_Suroeste_RGB_8bit__R53__C40,15.682806931064174,0.6920199990272522,0.08920657634735107,6.86608436932006
PANSHARP_Suroeste_RGB_8bit__R55__C38,19.111406864445136,0.7621797919273376,0.06935316324234009,6.25230024452619
PANSHARP_Suroeste_RGB_8bit__R55__C39,18.195590591787788,0.7454721331596375,0.08147621154785156,5.48284454974232
PANSHARP_Suroeste_RGB_8bit__R55__C40,17.306678580777927,0.7325231432914734,0.09210705757141113,6.13121394178382
AVERAGE,20.361885944330353,0.7814735102653504,0.07876941680908203,5.274368940861765
