image,psnr_bicubic,ssim_bicubic,dists_bicubic,niqe_bicubic,psnr_otf,ssim_otf,dists_otf,niqe_otf,psnr_otf_hard,ssim_otf_hard,dists_otf_hard,niqe_otf_hard,psnr_otf_soft,ssim_otf_soft,dists_otf_soft,niqe_otf_soft,psnr_paired,ssim_paired,dists_paired,niqe_paired,psnr_paired_hard_12000,ssim_paired_hard_12000,dists_paired_hard_12000,niqe_paired_hard_12000,psnr_paired_hard_20000,ssim_paired_hard_20000,dists_paired_hard_20000,niqe_paired_hard_20000,psnr_paired_soft_2000,ssim_paired_soft_2000,dists_paired_soft_2000,niqe_paired_soft_2000,psnr_paired_soft_20000,ssim_paired_soft_20000,dists_paired_soft_20000,niqe_paired_soft_20000
PANSHARP_Norte_RGB_8bit__R58__C82,16.561899402641085,0.6458783745765686,0.1710090637207031,6.82563079292926,16.589179331567628,0.7412219047546387,0.1098119020462036,4.54322358689039,16.43541174318442,0.7324414253234863,0.1140419244766235,3.81829397859792,16.642924575466754,0.7491650581359863,0.1096187829971313,5.01884590797463,19.88574152507766,0.8428165316581726,0.0747568607330322,5.05762843752295,19.625419392779257,0.8413973450660706,0.0617095232009887,4.82735372517798,19.984129277620056,0.8466655611991882,0.0596520900726318,4.82491169670621,19.998291662222965,0.8471624255180359,0.0706052780151367,4.84919868735044,19.75210990463623,0.8433071970939636,0.0681294798851013,5.09938588078509
PANSHARP_Norte_RGB_8bit__R58__C83,17.40709985928686,0.6651425957679749,0.1815714240074157,6.34157070310718,17.864450425752143,0.7711372375488281,0.1234306097030639,5.63463416755493,17.63550809125357,0.7516257762908936,0.1226049661636352,4.1515709221636,17.741011099800836,0.7710806727409363,0.1209718585014343,6.10454334762876,21.15866276053516,0.8574459552764893,0.0832353234291076,5.01414020990774,20.619590202898127,0.852040708065033,0.0741057991981506,4.62477263699251,21.03618154944845,0.8561863303184509,0.0732885003089904,4.80793004063408,21.115926296755063,0.8609231114387512,0.0772274732589721,5.00917407891925,20.81754269348513,0.856593906879425,0.0790162086486816,5.38734378366861
PANSHARP_Norte_RGB_8bit__R58__C84,21.18212409079153,0.7386844754219055,0.1915912628173828,5.80267149095381,22.182332027753557,0.8150947690010071,0.116367757320404,4.17111823803821,21.94530536083789,0.7977674007415771,0.1122493147850036,3.80712686404072,22.238018136605945,0.81971675157547,0.1124235391616821,5.53119643065698,25.862229811818203,0.8824108242988586,0.0893008112907409,4.79955830652882,25.584871025874392,0.8792961239814758,0.0828922986984252,4.26324065013918,25.87369150480693,0.8811833262443542,0.0823848247528076,4.30303343684061,26.00357240035321,0.8864325881004333,0.085237979888916,4.64326582298449,25.94188521216069,0.8858518004417419,0.0847867131233215,4.88227617978364
PANSHARP_Norte_RGB_8bit__R58__C85,19.663102622909,0.6806756854057312,0.1942284703254699,6.47842061870636,20.246010901211267,0.7929627895355225,0.1238314509391784,4.35660284653958,19.97729321572996,0.7693910598754883,0.1121385693550109,3.90690025828624,20.17835027622247,0.7935121059417725,0.1100214123725891,5.34752146911145,23.491418039787632,0.8643226623535156,0.0793638825416565,5.15503571494326,22.65463556182752,0.8553282618522644,0.0727992057800293,4.91816492502912,23.193270913651556,0.8614180684089661,0.0705751776695251,4.94568498348635,23.521169282622857,0.8672245144844055,0.0764495730400085,4.91664222270412,23.443161890979155,0.866716206073761,0.0753570199012756,5.0954264924397
PANSHARP_Norte_RGB_8bit__R58__C86,18.950420923310084,0.7041583061218262,0.2085416316986084,6.14129265211543,19.290685089484526,0.7997080683708191,0.115979790687561,4.20572211391723,18.84712256259317,0.7697693705558777,0.1234519481658935,3.51174030678396,19.20678065881868,0.8007801175117493,0.1221175193786621,5.28022373066296,22.173176588361912,0.8654343485832214,0.0888354778289794,4.4600754528225,21.35852363718364,0.8578636050224304,0.0904473066329956,3.92147939924652,21.773597827561414,0.8612232804298401,0.0879105925559997,4.06639578713369,22.03174523762491,0.866364061832428,0.0913699865341186,4.27744670971312,22.050720833967645,0.867994487285614,0.0921487808227539,4.28489203736315
PANSHARP_Norte_RGB_8bit__R69__C61,20.33235783188772,0.7148080468177795,0.1699262857437133,6.24344129919671,21.336374806781023,0.808373749256134,0.0999588966369628,5.41886777022105,21.12314563890644,0.791165828704834,0.1010985970497131,4.6999513171509,21.57806346731789,0.8137223124504089,0.1014395356178283,6.03896908795961,24.511172846586,0.8749305605888367,0.0661119222640991,5.29600540601451,23.986789148626,0.8678110241889954,0.0629144310951232,5.06237460115306,24.41608145268008,0.8715944290161133,0.0601375102996826,4.92409383549318,24.608807325442648,0.878237783908844,0.0644435882568359,5.49628275678187,24.689466816409904,0.8786395192146301,0.063563585281372,5.23191889803286
PANSHARP_Norte_RGB_8bit__R69__C62,19.041823243194223,0.6847580075263977,0.1797595620155334,6.9314111525981,19.770556375503084,0.7825447916984558,0.1265195608139038,5.08587180054322,19.493907427682565,0.7652320861816406,0.1256476044654846,4.93574801025563,19.83454029058597,0.7854655385017395,0.1266653537750244,5.74962906858105,22.526666278465605,0.8603105545043945,0.0863428115844726,5.03387852178094,21.909984520137314,0.8518580794334412,0.0797100663185119,5.06187485081242,22.404199719690915,0.8584181666374207,0.075724720954895,4.92863237092327,22.50772844837274,0.8631997108459473,0.0817883610725402,5.22103350755875,22.791869786811056,0.8661697506904602,0.0783939361572265,5.20512471107857
PANSHARP_Norte_RGB_8bit__R69__C63,20.24147694949996,0.6932079195976257,0.1799675822257995,6.75707825342544,21.290449554246308,0.7947857975959778,0.1235832571983337,5.33760895076333,21.172197662011413,0.7807238698005676,0.1192460060119628,5.06264036446017,21.361750467331667,0.7976958155632019,0.1202347874641418,6.68063834082909,24.75789249713532,0.8762636184692383,0.0825790166854858,5.3699816640962,24.18671953754528,0.8702369332313538,0.0743079781532287,5.29195858215338,24.87603775314516,0.8754935264587402,0.0761763453483581,5.3835345025102,24.664680710743333,0.8785273432731628,0.0776852965354919,5.38839767843247,25.203483211978067,0.8821010589599609,0.0737240314483642,5.73827514582091
PANSHARP_Norte_RGB_8bit__R69__C64,21.63706036797848,0.7024134993553162,0.200844407081604,6.16655274604987,22.3842955631139,0.7743251919746399,0.1281791925430297,4.66015535004594,22.251055125879606,0.7655922770500183,0.1144084930419921,4.31928120655354,22.604168356611165,0.7836074829101562,0.1179825663566589,5.93265013809385,26.271623482002237,0.873646080493927,0.0882134437561035,4.83403214738985,25.91666233962553,0.8693437576293945,0.0729623436927795,4.48639798253961,26.34594938276009,0.8722328543663025,0.0748489499092102,4.54705071008611,26.31965680150586,0.8771443963050842,0.082838237285614,4.86035325495901,26.531103014563403,0.87860107421875,0.0792736411094665,5.0995221954944
PANSHARP_Suroeste_RGB_8bit__R10__C43,16.8624973351747,0.484115719795227,0.1740526556968689,5.60985251036861,15.709017450502529,0.4601454734802246,0.0986806154251098,4.911695925022,15.418225324657628,0.4401261806488037,0.0932707786560058,4.28476345785219,15.65992927402274,0.4672706127166748,0.0967332124710083,5.19470933090195,17.866280863368512,0.7144330143928528,0.0794807076454162,5.48342368521267,16.847191583917624,0.6931549906730652,0.0717691779136657,5.21492310492731,16.434880911531117,0.6745548844337463,0.0728113651275634,5.39154915757947,17.662633067027883,0.7144590020179749,0.0762801766395568,5.43769521768845,16.789924447472323,0.6874620318412781,0.0775209069252014,5.55077830788596
