,psnr,ssim,dists,niqe
bicubic,17.927575420656705,0.5715570187568665,0.1909716391563415,6.296250003944908
otf,17.777721340034187,0.608033858537674,0.11928968667984,5.2397968198329
otf_hard,17.523304284325906,0.5917124319076538,0.118791766166687,4.61730098882988
otf_soft,17.775595864154138,0.6118082141876221,0.1178461360931396,5.863298293308335
paired,20.91241734764888,0.793276982307434,0.0882027840614318,5.421571615899624
paired_hard_12000,20.581880497264507,0.7910711145401002,0.0791507649421691,5.258126307438361
paired_hard_20000,20.361885944330357,0.7814735102653504,0.078769416809082,5.274368940861765
paired_soft_2000,21.01116304333022,0.8001267313957214,0.084224259853363,5.434899776931752
paired_soft_20000,20.946724360150565,0.7986362099647522,0.0835521626472473,5.59732999848831
